bigram,freq
"('v', 'neck')",3
"('neck', 'wa')",2
"('so', 'low')",4
"('low', 'that')",1
"('that', 'you')",10
"('you', 'could')",8
"('could', 'see')",3
"('see', 'my')",2
"('bra', 'there')",1
"('no', 'adjusting')",1
"('adjusting', 'i')",1
"('i', 'could')",37
"('could', 'do')",1
"('do', 'to')",1
"('to', 'fix')",3
"('fix', 'it')",2
"('it', 'the')",17
"('material', 'ha')",1
"('ha', 'a')",13
"('a', 'lovely')",2
"('lovely', 'soft')",1
"('soft', 'silky')",1
"('silky', 'feel')",1
"('feel', 'to')",1
"('it', 'an')",3
"('an', 'This')",1
"('This', 'fell')",1
"('fell', 'apart')",3
"('apart', 'after')",2
"('after', 'wearing')",3
"('wearing', 'it')",3
"('it', 'once')",3
"('once', 'for')",1
"('for', 'the')",47
"('the', 'price')",26
"('price', 'it')",3
"('it', 'should')",5
"('should', 'hold')",1
"('hold', 'up')",6
"('up', 'better')",1
"('better', 'it')",3
"('s', 'too')",5
"('too', 'delicate')",1
"('delicate', 'Very')",1
"('Very', 'disappointed')",2
"('disappointed', 'ordered')",1
"('ordered', 'two')",1
"('two', 'size')",9
"('size', 'the')",5
"('the', 'fraying')",1
"('fraying', 'of')",1
"('the', 'embroidery')",4
"('embroidery', 'wa')",2
"('so', 'bad')",6
"('bad', 'on')",1
"('on', 'one')",2
"('one', 'of')",14
"('the', 'dress')",84
"('dress', 'i')",22
"('i', 'wouldn')",7
"('wouldn', 't')",19
"('t', 'have')",8
"('have', 'worn')",4
"('worn', 'it')",6
"('it', 'and')",14
"('the', 'zipper')",7
"('zipper', 'wa')",1
"('wa', 'sticking')",1
"('sticking', 'the')",1
"('the', 'second')",7
"('second', 'dress')",1
"('dress', 'had')",3
"('had', 'fraying')",1
"('fraying', 'and')",1
"('and', 'loose')",5
"('loose', 'thread')",2
"('thread', 'a')",1
"('well', 'and')",5
"('shoulder', 'were')",2
"('were', 'not')",3
"('not', 'properly')",1
"('properly', 'sewn')",1
"('sewn', 'which')",1
"('which', 'made')",3
"('made', 'the')",5
"('the', 'lace')",8
"('lace', 'at')",1
"('neckline', 'completely')",1
"('completely', 'crooked')",1
"('crooked', 'some')",1
"('some', 'of')",6
"('of', 'these')",7
"('these', 'issue')",1
"('issue', 'would')",1
"('would', 'maybe')",1
"('maybe', 'be')",1
"('be', 'acceptable')",1
"('acceptable', 'if')",1
"('if', 'the')",10
"('dress', 'wa')",16
"('wa', 'under')",1
"('under', '100')",1
"('100', 'but')",1
"('but', 'at')",3
"('at', '228')",1
"('228', 'they')",1
"('they', 'are')",23
"('are', 'not')",13
"('not', 'returning')",1
"('returning', 'both')",1
"('both', 'size')",2
"('size', 'I')",2
"('I', 'wa')",35
"('wa', 'really')",16
"('really', 'excited')",7
"('excited', 'for')",4
"('for', 'this')",19
"('top', 'to')",5
"('to', 'arrive')",2
"('arrive', 'and')",1
"('really', 'disappointed')",4
"('disappointed', 'once')",1
"('once', 'i')",6
"('on', 'i')",15
"('i', 'am')",84
"('am', 'sure')",1
"('sure', 'this')",1
"('a', 'gorgeous')",1
"('gorgeous', 'top')",1
"('top', 'on')",8
"('on', 'someone')",2
"('someone', 'with')",3
"('with', 'a')",31
"('a', 'straighter')",1
"('straighter', 'or')",1
"('or', 'more')",2
"('more', 'slender')",1
"('slender', 'frame')",1
"('frame', 'it')",1
"('is', 'good')",3
"('good', 'quality')",3
"('quality', 'and')",13
"('look', 'fine')",1
"('fine', 'on')",1
"('the', 'hanger')",4
"('hanger', 'i')",1
"('i', 'think')",17
"('think', 'the')",5
"('color', 'in')",2
"('online', 'accurately')",1
"('accurately', 'show')",2
"('show', 'the')",1
"('color', 'lady')",1
"('lady', 'with')",1
"('with', 'hip')",1
